Text,Label
Ninna message check madidya?,Neutral
"Homework complete aagide, illa inna pending ide?",Neutral
Office nalli meeting cancel aagide.,Neutral
Nanna mobile charge maadbeku.,Neutral
Illi traffic tumba heavy ide.,Neutral
Partyge yaaru bartha idare?,Neutral
Lunchge yenu plan ide?,Neutral
Naanu coffee tagodu beku.,Neutral
Game tumba interesting aagittu.,Neutral
Avanu late aagthaidane.,Neutral
YouTube video nalli idu nodi.,Neutral
Weekend plans yenu ide?,Neutral
"Illa, nanu busy aagiddini.",Neutral
Exam nalli yavaga start agutte?,Neutral
Shopping maadoke hogona.,Neutral
Class tumba bore aaythu.,Neutral
"Movie start aagide, let’s go.",Neutral
Yen time alva class start agutte?,Neutral
WhatsApp group nalli idanna share maadi.,Neutral
Party nalli enjoy maadidra?,Neutral
College nalli yaaru yaaru idare?,Neutral
Illi weather tumba chilly ide.,Neutral
Manege yen time ge barthiya?,Neutral
Test easy aagittu antha ansutte.,Neutral
Notes share madak bittu ninna.,Neutral
Tumba traffic al idde road nalli.,Neutral
Meeting yavaga start agutte?,Neutral
Homework complete madidra?,Neutral
Idanna screenshot maadu.,Neutral
Photo upload aagtha ide.,Neutral
Breakfastge yen thogoltheera?,Neutral
Library hogi study maadok yochistha idini.,Neutral
Phone charge zero aagide.,Neutral
Call maadi yochisona yen maadbeku.,Neutral
Weekend ge trip plan ideya?,Neutral
All hands up nAnd one like,Neutral
@psushilshankar ENT.,Neutral
@Bhimrao Naik appu fans support all Kannada films,Neutral
Daily  nodoru like madi,Neutral
@Navya N ya your right but I like him,Neutral
Ega ha ashvathama ellidhane,Neutral
Hindi.  ?,Neutral
Most liked song in KFI.,Neutral
Give me ur mail address,Neutral
ರಾಮ ರಾಮ ತುಸು ದಕ್ಷ ವೃಪ ಜಾರಿಪ,Neutral
Dia name meaning yenu,Neutral
tq kano,Neutral
One like for music,Neutral
Super movie 100 days,Neutral
@jagadish g dambal,Neutral
Pmt andre yavdu?,Neutral
Like Thalapathy Vijay Fans,Neutral
Full kdk,Neutral
Howdu huliya,Neutral
Prajwal Devraj is Back,Neutral
@Prasad Hegde Elli dull ide,Neutral
Rashmika n her fans,Neutral
Super roast but e pubg vedios yake sink madi roast madtira. Change madi,Neutral
@Ranjith think madirlilla,Neutral
Kirik party boys,Neutral
#AvaneSrimannarayana #HandsUp song last alli fork esiyodu sanvi anustte,Neutral
ABHINAYA CHAKRAVARTHI KICCHA SUDEEP FANS Like HERE,Neutral
Ya u true,Neutral
Anna adu real story,Neutral
Trending ...... Video.....Asn,Neutral
@Venu ahgbowdu.,Neutral
Like kiccha fans,Neutral
ಆದ್ರೆ ಚೀನಾ ಗೇ ಬಕೆಟ್ ಹಿಡಿತಾರೇ,Neutral
Bgm is good,Neutral
Music sup company,Neutral
@vinay shivamogga 1000% Right,Neutral
Hand's up,Neutral
@sᴀɴᴅᴀʟᴡᴏᴏᴅ sᴛᴜᴅɪᴏ ᴍᴏᴠɪᴇs munde gottagutte,Neutral
@SIDDARAJU D vhhhk,Neutral
ಗಾಳಿ ಮಾತಿನ ಬಜಾರು ಸುದ್ದಿ ಸಾರಿದೆ ಸುಮಾರು,Neutral
From ಯಶ್ fans,Neutral
@Ŕävîñđŕå_02_GøWđřú brother one point Nivu movie chennagi nodi BGM ULTI ide,Neutral
AGT-KELU (KANNADA RAP 2019),Neutral
Xi XP Zurich,Neutral
Duplicate  video,Neutral
Malayalam singer,Neutral
Like for singer #vijayprakash,Neutral
ನನಗು ತೊರಸಿ ಅಶ್ವತ್ತಾಮರಾ,Neutral
Narayana. Character. Yariga  istha. Illi. Like. Madi,Neutral
Dayanand 123 ಕಮಕಲಲ,Neutral
Hen music guru,Neutral
I hv one doubt gay gu ivarigu en difference heli,Neutral
STANY d Souza,Neutral
@dollegowda m hlo bro,Neutral
@satishnithyanandam lo kaidhi,Neutral
@kinu0505 report him,Neutral
Gali Matin Bazaru Sudi Saride Sumaru... Adu yen Andre...!nIDU CHARITRE SRUSTISO AVATARnVijay Prakash voice nice.,Neutral
@MOVIES BOX o Robert,Neutral
10 ಮಿಲಿಯನ್ ವಿವ್ಸ್ ಆಗುತ್ತೆ ಅನ್ನೋರು ಲೈಕ್ ಮಾಡಿ,Neutral
@punter 18 pakka,Neutral
May be after hamsaleka,Neutral
Gta 5 bro,Neutral
LA TV all Yb comedy,Neutral
Hands up yav pada pa,Neutral
@CHNADU Ganeshakar xxx,Neutral
Nanna ekkada ನನ್ನ ಎಕ್ಕಡ,Neutral
ದಿಯಾ ನೀವು ಸೋಷಿಯಲ್ ಮೀಡಿಯಾ ಅಲ್ಲಿ ಕಾಣ್ತಿಲ್ಲ.nದಯವಿಟ್ಟು ಪ್ರತಿಕ್ರಿಯಿಸಿ,Neutral
E song alli flare gun ide,Neutral
Pandavaru mamsa tinthidra,Neutral
dboss true fans like here,Neutral
Please provide more kannada,Neutral
Basanni baa  kannada movi,Neutral
@SANGMESH NADVINMANI y bro,Neutral
Nanu 2 sala nodidini,Neutral
Poornima Poornima oooooooooooo brami,Neutral
Ravi Kumar Naidu Ravi Naidu hu,Neutral
@Deepa CH Roll no-24,Neutral
I waiting bro,Neutral
Tereya abhinayada indide jeevanada pathra,Neutral
@manz game yes!,Neutral
@10 R report madi avna,Neutral
@jagadish g dambal the,Neutral
Who is after Howdu Huliya,Neutral
Only Kannada no English,Neutral
@G D yatheesh good job BRO,Neutral
Looks like dboss dancing.... ..from dboss fan...,Neutral
Ee song Virat Kohli & Modi ji ge perfect match akkati🥰n#ASN Rakshit anna,Neutral
ಲಾಸ್ಟ್ ಅಲ್ಲಿ Fork  ಎಸೆದಿದ್ದು shaanvi aka Lakshmi ಇರಬಹುದಾ ಅನ್ನೋರು like ಮಾಡಿ,Neutral
Super Anna. Neev helid Matu 100% nija. Onedu Matalu oned artayide.,Neutral
Is it true,Neutral
ಉತ್ತರ ಕರ್ನಾಟಕದ ಭಾಗದಲ್ಲಿ ನಡೆದ ನೈಜ ಘಟನೆ ಆಧಾರಿತ ಕಥಾ ಸಂಗ್ರಹ,Neutral
Shankar Nag Nenapugalu,Neutral
Telugu lo super,Neutral
Tik tok vade gala,Neutral
@Nagaraj h Jagavar 777 Charlie barutte next,Neutral
ಕೇಳ್ತಾ ಕೇಳ್ತಾ,Neutral
@christ anil nimmappa alvenro,Neutral
Give link to that pandi kokku song ....,Neutral
@Lalsab Mulla tq sir,Neutral
@Madan Kumar super,Neutral
@anirudh 8 mostly avru Ee film nalli iddare anusutte,Neutral
Oh baby once again also yaar,Neutral
ಇದು ಚರಿತ್ರೆ ಸ್ರಷ್ಠಿಸೋ ಅವತಾರ,Neutral
Yad Ustad Ali comedy,Neutral
Shankranna= RakshithnUppi Dada= Rishabh,Neutral
ನಂಗ್ ಅನ್ಸುತ್ತೆ... ಶೆಟ್ರುದು ಡಬಲ್ ರೋಲ್ ನಲ್ಲಿ ಇದರೆ ಅಂತ...,Neutral
Godiyaga ata aadtida,Neutral
Basavaraj Marennavar bangaradamanususya,Neutral
@kiran cg avaru Hyderabad Alli irodu anta heliddu.hyderabad Karnataka region anta helilla,Neutral
Nagaraj h Jagavar a,Neutral
Yes bro ...,Neutral
Gta 5 bro,Neutral
Jai appu boss,Neutral
Beard and walking style,Neutral
Who is pavan kalyan?,Neutral
Nammuralli bandidda nane One-up coffee bread kottu kalsde.....,Neutral
Le hudugira tik tok bidi banni lagori aduma horagde social distance nalli lagori ata tik tok ge tata only for tik tok girls ________,Neutral
@Shiva Prasad yes bro,Neutral
Jai d boss,Neutral
Bro....ii movie online nalli elli sigutte....or TV yalli yavaga haktare......plzzzzzzzzz helu,Neutral
My name is re nu ka hai jo mujhe pasand nahi aayi,Neutral
n 0,Neutral
Wt Abt devarkonda,Neutral
@Kartik GONEPPANAVAR Kartik GONEPPANAVAR fttc,Neutral
Yes true guru,Neutral
Currect agi helidri sir,Neutral
Idu charitre srushtiso avatara e line kelidmele tak anta nenpagodu vijay prakash sir annovru like madi,Neutral
sir nimmannu naanu 1st nodiddu Manethana  annuva 2.30 serial nalli sir...20 years before sir...but adra nanthara evagle nodtha erudu sir...,Neutral
Nayanappa's book ??,Neutral
+Nabilal S ಕಗಬಜ,Neutral
Buety.. Guru..,Neutral
Godiyaga isfet adatida,Neutral
Sir naanu Visakhapatnam li iradhu,Neutral
ಹೌದು ಕನ್ನಡತಿ ಭುವನ ಅವ್ರೆ.ಜೈ ಕರ್ನಾಟಕ ಮಾತೆ.ಜೈ ಭುವನೇಶ್ವರಿ ತಾಯಿ.ಜೈ ಕನ್ನಡಿಗ.ಜೈ ಕನ್ನಡತಿ ಕಣ ಕಣದಲ್ಲೂ ಕನ್ನಡ.ಕನ್ನಡವೇ ಸತ್ಯ.ಕನ್ನಡವೇ ನಿತ್ಯ. ಸಿರಿಗನ್ನಡಂ ಗೆಲ್ಗೆ. ಸಿರಿಗನ್ನಡಂ ಬಾಳ್ಗೆ.ಕನ್ನಡದ ಭಕ್ತ ಶಿವರಾಮ್ ಗೌಡ ಮಂಡ್ಯ.6363014117.8296261615.,Neutral
34 m v,Neutral
Telugu version upload madurri,Neutral
@Megharaj 1,Neutral
In udupi sir,Neutral
Hata best D Boss fans,Neutral
Slow poison song annoru like madi,Neutral
@Chaitanya P hwdu,Neutral
Make it 100,Neutral
Rashmika missed him!,Neutral
ಹ್ಯಾಪಿ ನ್ಯೂ year ಇನ್ ಅಡ್ವಾನ್ಸ್ ಅಂಡ್ ಇಮ್ ವೈಟಿಂಗ್  ಅವನೇ ಶ್ರೀಮನ್ನಾರಾಯಣ ರಕ್ಷಿತ್ ಶೆಟ್ಟಿ ಸರ್,Neutral
ಅಪ್ಪು ಅಭಿಮಾನಿಗಳು ಲೈಕ್.. ಮಾಡ್ರೋ 🤗,Neutral
@Mad Titan Zoom ultra modem,Neutral
Telugu r we joke of u,Neutral
ನಾಲ್ಕು ಯುಗಗಳು ಮುಗಿದ ಮೇಲೆ ಪುನ,Neutral
Ragad song  ....,Neutral
