Text,Label
Bari olu nan makla,Non-depressive
Idu riyel rar,Non-depressive
ಕಥೆ ಸರಿಯಾಗಿ ತಿಳಿದುಕೊಳ್ಳಿ..... please don't worng guide..... ಅಶ್ವತ್ತಾಮ ಶಿವನ ಅವತಾರ.... ಇಂದ್ರನಲ್ಲಿ ಸುಳ್ಳು ಹೇಳಿದಕ್ಕಾಗಿ ಭೂಮಿಯಲ್ಲಿ ದೀರ್ಘ ಕಾಲಿ ಯಾಗಿ ಅವತಾರಿಡಿದರು ಅಷ್ಟೇ...... ಕೃಷ್ಣ ಅವರಿಗೆ ಶಪಿಸಲಿಲ್ಲ,Non-depressive
ಹೌದು ಹೌದು ನಿನ್ನೆ ನಮ್ಮನಿಗೂ ಬಂದಿದ........ ಚಾ ಕುಡ್ಕಾ ಹೊದ,Non-depressive
ಕತೆ ಕತೆಯಾಗಿ ಇರುತ್ತೆ ಇದನ್ನು ನಂಬಲು ಅಸಾದ್ಯ,Non-depressive
Houdu ashvatama 5000 varsha dinda  idre Krista Shaka 2000 Anta yak aktaidare Hindu galu munche inda idane navu idannu pratipadisabeku I,Non-depressive
In udupi sir,Non-depressive
Nimge istu sullu heloke Hege manasu barutte,Non-depressive
ಸರ್ ಅಶ್ವತ್ಥಾಮ ಆ ವೈದ್ಯರ ಮನೆಗೆ ಬರುತ್ತಿದ್ದ ಅಂತ ಹೇಳುದ್ರಿ ಅವನಿಗೆ ಹೇಗೆ  ಗೊತ್ತು ಅವರು ವೈದ್ಯರು ಅಂತ ಮತ್ತೆ ಮುಖ್ಯವಾಗಿ ಮಹಾಭಾರತ ಕಾಲದಲ್ಲಿ ಹಿಂದಿ,Non-depressive
ನಿಜಕೂ ಈದು ಆಚರಿನೇ🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤥🤥🤥🤓🤡🤡🤡🤠🤠🤠,Non-depressive
Nan lwda dalli edane band nodkondu ogo gandu,Non-depressive
Anna sumne video madedhya nodu,Non-depressive
ಧನ್ಯವಾದಗಳು ಸ್ನೇಹಿತರೆ ನೀವು ಪುರಾಣದಲ್ಲಿ ಬರುವ  ಯಲ್ಲರಿಗೂ ಬಹುವಚನ ದಿಂದ ಮಾತಾಡ್ತಿರ ಧನ್ಯವಾದಗಳು ಸ್ನೇಹಿತರೆ,Non-depressive
Raktha rathri yakshagana nodi maryare,Non-depressive
Enu investigation nedithidya  ashwattama idara OMG nomboke agtilla devre ashwattama nija  vaglu idre it is unbelievable God please a doctor ega idre investigation Madi and a yavudho hasiru guhe andharela Ali hogi nodi inu pooje madthidhara and mate avru sikidra yarigadharu please information Kodi and good job nanna devaru Channel,Non-depressive
Guru e badyav heltirod bari sulu,Non-depressive
Drona pandavara para iddre ivneke kouravara para iddana.????,Non-depressive
Super sir,Non-depressive
ಇರೋದು ಇರಭವದ್ ಗೊತ್ತಿಲ್ಲ,Non-depressive
Bari ante kante Gale agoytu. Enadru solid proof torsri avar edare annoke.,Non-depressive
En kathe kattutiya guru🤣🤣🤣🤣..... . Proof kodu sullu kathe katbeda,Non-depressive
Nija kano adhu...neevgalu kathe katkondirodu...alla alla antha....,Non-depressive
Avnige ella language matadoke barutta,Non-depressive
Pandavaru mamsa tinthidra,Non-depressive
ha nam manegu bandiida ...,Non-depressive
